dataset,qid,sense,set,predicate,metaphoricity,uni_acc,uni_acc_over_chance
agnews,high_quiet,hearing,SYN_HIGH,quiet,0.75,0.266,0.016000000000000014
agnews,high_shrill,hearing,SYN_HIGH,shrill,0.8,0.28400000000000003,0.03400000000000003
agnews,high_harmonious,hearing,SYN_HIGH,harmonious,0.85,0.266,0.016000000000000014
agnews,high_stinking,smell,SYN_HIGH,stinking,0.85,0.36000000000000004,0.11000000000000004
agnews,high_fragrant,smell,SYN_HIGH,fragrant,0.8,0.294,0.043999999999999984
agnews,high_fishy,smell,SYN_HIGH,fishy,0.95,0.32,0.07
agnews,high_fresh,smell,SYN_HIGH,fresh,0.85,0.308,0.057999999999999996
bbc,low_orange,sight,SYN_LOW,orange,0.1,0.37,0.16999999999999998
bbc,low_purple,sight,SYN_LOW,purple,0.1,0.358,0.15799999999999997
bbc,low_angular,sight,SYN_LOW,angular,0.2,0.37,0.16999999999999998
bbc,low_opaque,sight,SYN_LOW,opaque,0.25,0.264,0.064
bbc,low_salty,taste,SYN_LOW,salty,0.3,0.33799999999999997,0.13799999999999996
bbc,low_umami,taste,SYN_LOW,umami,0.05,0.292,0.09199999999999997
bbc,low_starchy,taste,SYN_LOW,starchy,0.05,0.262,0.062
bbc,low_minty,taste,SYN_LOW,minty,0.1,0.298,0.09799999999999998
bbc,low_wet,touch,SYN_LOW,wet,0.2,0.356,0.15599999999999997
bbc,low_grainy,touch,SYN_LOW,grainy,0.15,0.20400000000000001,0.0040000000000000036
bbc,low_fuzzy,touch,SYN_LOW,fuzzy,0.3,0.23199999999999998,0.03199999999999997
bbc,low_spongy,touch,SYN_LOW,spongy,0.15,0.29000000000000004,0.09000000000000002
bbc,low_muffled,hearing,SYN_LOW,muffled,0.2,0.274,0.07400000000000001
bbc,low_echoey,hearing,SYN_LOW,echoey,0.1,0.29000000000000004,0.09000000000000002
bbc,low_nasal,hearing,SYN_LOW,nasal,0.1,0.32599999999999996,0.12599999999999995
bbc,low_squeaky,hearing,SYN_LOW,squeaky,0.2,0.31,0.10999999999999999
bbc,low_metallic,smell,SYN_LOW,metallic,0.1,0.24,0.03999999999999998
bbc,low_smoky,smell,SYN_LOW,smoky,0.2,0.266,0.066
bbc,low_floral,smell,SYN_LOW,floral,0.15,0.256,0.055999999999999994
bbc,low_musty,smell,SYN_LOW,musty,0.3,0.32199999999999995,0.12199999999999994
bbc,high_dark,sight,SYN_HIGH,dark,0.85,0.248,0.04799999999999999
bbc,high_bright,sight,SYN_HIGH,bright,0.8,0.29200000000000004,0.09200000000000003
bbc,high_colorful,sight,SYN_HIGH,colorful,0.8,0.318,0.118
bbc,high_black,sight,SYN_HIGH,black,0.75,0.266,0.066
bbc,high_sweet,taste,SYN_HIGH,sweet,0.85,0.31200000000000006,0.11200000000000004
bbc,high_bitter,taste,SYN_HIGH,bitter,0.9,0.33,0.13
bbc,high_sour,taste,SYN_HIGH,sour,0.8,0.3,0.09999999999999998
bbc,high_bland,taste,SYN_HIGH,bland,0.9,0.284,0.08399999999999996
bbc,high_warm,touch,SYN_HIGH,warm,0.9,0.30600000000000005,0.10600000000000004
bbc,high_cold,touch,SYN_HIGH,cold,0.9,0.268,0.068
bbc,high_rough,touch,SYN_HIGH,rough,0.8,0.312,0.11199999999999999
bbc,high_smooth,touch,SYN_HIGH,smooth,0.8,0.28400000000000003,0.08400000000000002
bbc,high_loud,hearing,SYN_HIGH,loud,0.8,0.29400000000000004,0.09400000000000003
bbc,high_quiet,hearing,SYN_HIGH,quiet,0.75,0.362,0.16199999999999998
bbc,high_shrill,hearing,SYN_HIGH,shrill,0.8,0.34600000000000003,0.14600000000000002
bbc,high_harmonious,hearing,SYN_HIGH,harmonious,0.85,0.324,0.124
bbc,high_stinking,smell,SYN_HIGH,stinking,0.85,0.278,0.07800000000000001
bbc,high_fragrant,smell,SYN_HIGH,fragrant,0.8,0.28400000000000003,0.08400000000000002
bbc,high_fishy,smell,SYN_HIGH,fishy,0.95,0.26999999999999996,0.06999999999999995
bbc,high_fresh,smell,SYN_HIGH,fresh,0.85,0.306,0.10599999999999998
emotion,low_orange,sight,SYN_LOW,orange,0.1,0.20892929292929296,0.04226262626262631
emotion,low_purple,sight,SYN_LOW,purple,0.1,0.15064646464646464,-0.016020202020202018
emotion,low_angular,sight,SYN_LOW,angular,0.2,0.1606060606060606,-0.006060606060606044
emotion,low_opaque,sight,SYN_LOW,opaque,0.25,0.20882828282828286,0.042161616161616206
emotion,low_salty,taste,SYN_LOW,salty,0.3,0.2049292929292929,0.03826262626262625
emotion,low_umami,taste,SYN_LOW,umami,0.05,0.18276767676767677,0.016101010101010116
emotion,low_starchy,taste,SYN_LOW,starchy,0.05,0.17270707070707073,0.006040404040404068
emotion,low_minty,taste,SYN_LOW,minty,0.1,0.2087272727272727,0.04206060606060605
emotion,low_wet,touch,SYN_LOW,wet,0.2,0.216989898989899,0.05032323232323235
emotion,low_grainy,touch,SYN_LOW,grainy,0.15,0.18884848484848488,0.02218181818181822
emotion,low_fuzzy,touch,SYN_LOW,fuzzy,0.3,0.18070707070707073,0.014040404040404075
emotion,low_spongy,touch,SYN_LOW,spongy,0.15,0.21482828282828287,0.04816161616161621
emotion,low_muffled,hearing,SYN_LOW,muffled,0.2,0.19676767676767676,0.0301010101010101
emotion,low_echoey,hearing,SYN_LOW,echoey,0.1,0.19886868686868686,0.032202020202020204
emotion,low_nasal,hearing,SYN_LOW,nasal,0.1,0.18278787878787878,0.01612121212121212
emotion,low_squeaky,hearing,SYN_LOW,squeaky,0.2,0.19478787878787882,0.028121212121212158
emotion,low_metallic,smell,SYN_LOW,metallic,0.1,0.18076767676767677,0.014101010101010114
emotion,low_smoky,smell,SYN_LOW,smoky,0.2,0.18474747474747474,0.018080808080808086
emotion,low_floral,smell,SYN_LOW,floral,0.15,0.1466060606060606,-0.020060606060606057
emotion,low_musty,smell,SYN_LOW,musty,0.3,0.17872727272727273,0.012060606060606077
emotion,high_dark,sight,SYN_HIGH,dark,0.85,0.22494949494949495,0.0582828282828283
emotion,high_bright,sight,SYN_HIGH,bright,0.8,0.23286868686868684,0.06620202020202018
emotion,high_colorful,sight,SYN_HIGH,colorful,0.8,0.17870707070707073,0.012040404040404074
emotion,high_black,sight,SYN_HIGH,black,0.75,0.1726868686868687,0.006020202020202037
emotion,high_sweet,taste,SYN_HIGH,sweet,0.85,0.25692929292929295,0.0902626262626263
emotion,high_bitter,taste,SYN_HIGH,bitter,0.9,0.22688888888888892,0.06022222222222226
emotion,high_sour,taste,SYN_HIGH,sour,0.8,0.2550909090909091,0.08842424242424243
emotion,high_bland,taste,SYN_HIGH,bland,0.9,0.16264646464646465,-0.004020202020202007
emotion,high_warm,touch,SYN_HIGH,warm,0.9,0.2630505050505051,0.09638383838383843
emotion,high_cold,touch,SYN_HIGH,cold,0.9,0.19462626262626262,0.027959595959595962
emotion,high_rough,touch,SYN_HIGH,rough,0.8,0.21882828282828282,0.05216161616161616
emotion,high_smooth,touch,SYN_HIGH,smooth,0.8,0.18272727272727274,0.01606060606060608
emotion,high_loud,hearing,SYN_HIGH,loud,0.8,0.18072727272727274,0.014060606060606079
emotion,high_quiet,hearing,SYN_HIGH,quiet,0.75,0.1746868686868687,0.008020202020202039
emotion,high_shrill,hearing,SYN_HIGH,shrill,0.8,0.19080808080808082,0.024141414141414158
emotion,high_harmonious,hearing,SYN_HIGH,harmonious,0.85,0.258989898989899,0.09232323232323233
emotion,high_stinking,smell,SYN_HIGH,stinking,0.85,0.1746060606060606,0.00793939393939394
emotion,high_fragrant,smell,SYN_HIGH,fragrant,0.8,0.1827878787878788,0.016121212121212147
emotion,high_fishy,smell,SYN_HIGH,fishy,0.95,0.1585858585858586,-0.00808080808080805
emotion,high_fresh,smell,SYN_HIGH,fresh,0.85,0.20084848484848483,0.034181818181818174
